OT,FECHA,PLACA,C_USUARIO,C_SEGURO,C_BROKER,C_TIPOOT,C_RECORDATORIO,KM,FHSALIDA,VIN,C_ESTADO,FHACTUALREG,COLOR,REQUERIMIENTO
10000353,09/10/2024 11:22:38 AM,AFB288 ,10002957,99,,R,,60438,28/10/2024 02:17:29 PM,1C4AJCAA9FD164620,S7,28/10/2024 02:40:24 PM,PLATA,REVISION GENERAL FUGA DE ACEITE VALORIZAR COSTO PARA VENTA
10000354,09/10/2024 11:38:36 AM,ARO613 ,10002958,99,,R,,110000,09/10/2024 07:57:52 PM,YV1DZ61H6G2912467,S9,09/10/2024 11:40:08 AM,GRIS,REVISION GENERAL SERV. PREVENTIVO MANO DE OBRA SERV. CORRECTIVO
10000355,10/10/2024 11:18:35 AM,CQA036 ,10002949,99,,R,,174669,14/10/2024 11:02:52 AM,YV1MS385982403913,S6,14/10/2024 11:01:53 AM,,CLIENTE SOLICITA: 1) SERVICIO A DOMICILIO. 2) SERVICIO DE GRUA. 3) MOTOR NO ARRANCA.
10000236,02/07/2024 11:20:50 AM,A6Y353 ,10002872,99,,R,,138199,04/07/2024 10:13:07 PM,KMHDU41BBAU101875,S7,05/07/2024 09:37:21 AM,PLATA METALIZADO,SERVICIO MAYOR
10000238,03/07/2024 03:01:03 PM,AJL636 ,10002849,99,,R,,84563,20/07/2024 06:16:44 PM,MR0YZ59G990078832,S7,03/07/2024 03:16:27 PM,BEIGE METALICO,* CAMBIO DE ACTUADOR DE PTA. DELT. DER. * CAMBIO DE ACTUADOR DE PTA. MALETERA
10000239,04/07/2024 12:28:34 PM,BRD472 ,10002857,99,,R,,32542,20/07/2024 07:10:24 PM,YV1LF10ACL1554353,S7,04/07/2024 12:30:55 PM,GRIS,"Cliente solicita: 1) Auxilio a domicilio, camioneta no arranca. 2) Cambio de solenoide de arrancador."
10000243,11/07/2024 11:45:20 AM,ACL111 ,10002822,99,,R,,84015,20/07/2024 07:23:22 PM,WBA5A3109FD010737,S6,20/07/2024 07:26:24 PM,NEGRO,CLIENTE SOLICITA: 1) REPARAR Y PINTAR FUNDA DELANTERA DE PARACHOQUE. 2) APLICAR RECUBRIMIENTO CERAMICO. 3) CAMBIAR TAPA DE LLENADO DE ACEITE.
10000255,18/07/2024 12:16:00 PM,ROK763 ,10000017,99,,R,,154848,01/08/2024 05:28:19 PM,KNAMB761366103050,S9,18/07/2024 12:17:09 PM,ROJO CEREZA,*VIBRACION EN ALTA.
10000282,13/08/2024 09:46:11 AM,C3Q173 ,10002910,99,,R,,101662,22/08/2024 02:50:33 PM,SALVA1BG6CH618733,S7,19/08/2024 09:12:36 AM,GRIS,CLIENTE SOLICITA: 1) DIAGNOSTICO POR TESTIGO DE CAJA AUTOMATICA. 2) PRESUPUESTO DE MANTENIMIENTO. 3) CONTROLES DE ASIENTO COPILOTO SE TRABAN. 4) FARO DELANTERO DERECHO A VECES NO ENCIENDE. 5) PEDAL DE FRENO SE ENDURECE Y NO FRENA BIEN. 6) A VECES NO ENCIENDE A LA PRIMERA Y EL MOTOR ESTA INESTABLE. 7) REVISAR LIMPIAPARABRISAS NO LIMPIAN BIEN.
10000290,22/08/2024 09:08:13 AM,BMV735 ,10002853,99,,R,,56510,22/08/2024 06:55:49 PM,3N6CD33A1NK812895,S7,22/08/2024 07:01:08 PM,BLANCO,CLIENTE SOLICITA: 1) REVISION GENERAL PARA VIAJE A LA OROYA. 2) SERVICIO DE MANTENIMIENTO. 3) ENDEREZAR ARO DELANTERO IZQUIERDO Y REEMPLAZARLO CON ARO DE RPTO. 4) BALANCEO 05 RUEDAS.
10000291,22/08/2024 09:27:36 AM,APO444 ,10000042,99,,R,,88066,22/08/2024 04:04:34 PM,SALCA2BG4GH556025,S6,22/08/2024 04:02:30 PM,VERDE,CLIENTE SOLICITA: 1) LIMPIEZA DE FILTRO EMBRAGUE HALDEX POR TESTIGO EN TABLERO.
10000298,27/08/2024 08:55:03 AM,F2W019 ,10002794,99,,R,,122543,31/08/2024 11:52:42 AM,KMHJM81BP7U701787,S6,27/08/2024 08:56:29 AM,AZUL OSCURO,CLIENTE SOLICITA: 1) CAMBIO DE ALARMA.
10000301,29/08/2024 11:08:41 AM,F2I231 ,10002920,99,,R,,35407,04/09/2024 06:49:40 PM,WMWSU3107DT559706,S6,04/09/2024 06:50:10 PM,ANARANJADO NEGRO,CLIENTE SOLICITA: 1) EVALUACION GENERAL PARA PONER OPERATIVO EL AUTO POR HABER ESTADO 03 ANOS SIN USO.
10000308,03/09/2024 09:36:24 AM,ALW557 ,10002875,99,,R,,38068,06/09/2024 03:04:21 PM,19XFB2650FE500843,S9,06/09/2024 03:04:07 PM,PLATA ALABASTRO,CLIENTE SOLICITA: 1) PYP GDFGO. DEL. DERECHO. 2) LUBRICAR BISAGRAS DE LAS 04 PUERTAS.
10000320,10/09/2024 08:18:36 AM,APO174 ,10002804,99,,R,,55851,17/09/2024 05:37:21 PM,5KBYF5850GB601587,S7,10/09/2024 11:33:49 AM,NEGRO CRYSTAL,CLIENTE SOLICITA: 1) CAMBIO DE BOTON DE ENCENDIDO.
10000328,17/09/2024 11:19:46 AM,BFP687 ,10002938,99,,R,,51097,05/02/2025 10:27:13 AM,3N8CP5HD0KL462095,S7,05/02/2025 10:26:50 AM,ROJO METALICO,DIAGNOSTICO Y PRESUPUESTO. * SONIDOS EN SUSPENSION. * SONIDOS AL FRENAR.
10000331,13/09/2024 09:40:00 AM,D8N119 ,10000352,99,,R,,1,17/09/2024 05:03:27 PM,3HGRM4870DG600436,S9,17/09/2024 04:59:44 PM,,CLIENTE SOLICITA: * CUADRAR REJILLA Y FUNDA DELANTERA DE PARACHOQUE.
10000332,20/09/2024 08:32:59 AM,AZW331 ,10002781,99,,R,,38407,18/12/2024 09:15:47 AM,JTDKD383XJ1600008,S9,20/09/2024 08:34:02 AM,GRIS OSCURO METALICO,CLIENTE SOLICITA: 1) PINTAR FUNDA POSTERIOR DE PARACHOQUE.
10000334,20/09/2024 11:28:41 AM,A2S390 ,10002824,99,,R,,258120,21/09/2024 10:47:03 AM,JMYLYV78W7J000225,S9,21/09/2024 10:47:29 AM,NEGRO,*Revision por testigo de aceite
10000342,27/09/2024 01:56:58 PM,AFJ499 ,10002950,99,,R,,50763,01/10/2024 01:58:00 PM,SJNFBAJ11FA259690,S7,01/10/2024 01:58:32 PM,GRIS,CLIENTE SOLICITA: 1) SERVICIO DE MANTENIMIENTO. 2) INSPECCION GENERAL.
10000344,01/10/2024 03:03:20 PM,ABA010 ,10002816,99,,R,,69068,01/10/2024 04:13:32 PM,WDDSJ4DB0FN117202,S9,01/10/2024 04:13:00 PM,GRIS,CLIENTE SOLICITA: 1) CAMBIO DE SENSOR DE POSICION DE CIGUENAL.
10000237,02/07/2024 03:47:02 PM,C9K433 ,10002877,99,,R,,204581,01/08/2024 04:10:45 PM,5FNYF4850CB602752,S9,08/07/2024 05:25:56 PM,AZUL BALI,"1) SERVICIO DE 5,000 KM 2) FRENOS LARGOS Y VIBRA 3) SONIDO AL GIRAR COMO TRAQUETEO (REVISAR PALIERES) 4) LUNA PILOTO A VECES NO SUBE NI BAJA 5) SCANEAR SRS 6) SONIDO EN CABINA AL PASAR POR TERRENO IRREGULAR "
10000240,05/07/2024 08:42:11 AM,BRC323 ,10002883,99,,R,,21120,20/07/2024 07:15:46 PM,YV1XZACADL2283664,S7,05/07/2024 08:53:38 AM,ROJO,* RECTIFICADO DE DISCOS DELT. * RECTIFICADO DE DISCOS POST.
10000241,08/07/2024 11:47:11 AM,F3S009 ,10002842,99,,R,,129469,30/12/2024 11:40:24 AM,WAUZZZ8K2EA001933,S6,30/12/2024 11:40:09 AM,PLATA,"*Recalentamiento, *Perdida de refrigerante *Sonido en el tablero como que golpea algo con el soplador"
10000242,09/07/2024 09:35:42 AM,AKW540 ,10000054,99,,R,,72579,18/07/2024 11:16:15 AM,3HGRM3850FG600965,S7,09/07/2024 10:11:15 AM,NEGRO,*SERVICIO MAYOR *REVICION DE FUGAS *CAMBIO DE PLUMILLAS
10000246,16/07/2024 08:31:37 AM,C0H143 ,10002813,99,,R,,118842,01/08/2024 04:27:13 PM,3HGRM4870CG602316,S9,01/08/2024 04:29:59 PM,GRIS TITANIUM,CLIENTE SOLICITA: 1) CAMBIO DE AMORTIGUADORES POSTERIORES. 2) ALINEAMIENTO DE DIRECCION. 3) ACOMODAR FUNDA DE PARACHOQUE POSTERIOR. 4) VERIFICAR SONIDO AL ENCENDER.
10000253,17/07/2024 11:27:06 AM,BDO675 ,10002862,99,,R,,47357,01/08/2024 05:16:14 PM,WP1ZZZ95ZHLB73715,S6,17/07/2024 11:38:28 AM,NEGRO,"*SERVICIO MAYOR 50,000 KM. *LIMPIEZA Y REGULACION DE FRENOS *REGULACION DE INYECTORES DE AGUA DELT. Y POST. *REVICION DE NIVELES *REVICION DE PRECION DE NEUMATICOS *REPROGRACION DE LOS SERVICIOS CON SCANNER"
10000257,18/07/2024 03:45:33 PM,AYA439 ,10002900,99,,R,,66491,01/08/2024 06:01:12 PM,JM7DK2W76J0132747,S7,25/07/2024 09:47:34 AM,AZUL,*REVICION GENERAL PARA VIAJE *SERVICIO DE MANTENIMIENTO QUE CORRESPONDA *cambio de 02 neumaticos NOTA: CAMBIO DE BUJIAS PREVIA INSPECCION.
10000262,20/07/2024 02:03:00 PM,ANC346 ,10002812,99,,R,,72358,22/08/2024 08:27:59 PM,9BWAB05U4GP043547,S7,22/08/2024 08:28:54 PM,ROJO FLASH,CLIENTE SOLICITA: 1) MOTOR PIERDE POTENCIA EN SUBIDA. 2) SONIDO EN MOTOR.
10000285,19/08/2024 08:54:07 AM,ACT663 ,10002826,99,,R,,2,04/09/2024 06:43:05 PM,5GTDN136668193413,S6,27/08/2024 09:07:10 AM,BLANCO,CLIENTE SOLICITA: 1) REVISAR SONIDO EN RUEDA DELANTERA IZQUIERDA. 2) REVISAR SONIDO EN PARTE POSTERIOR IZQUIERDA. 3) ELIMINAR SONIDOS DE SUSPENSION.
10000293,23/08/2024 01:16:21 PM,APM124 ,10000015,99,,R,,78722,29/08/2024 07:03:04 PM,JF1BS9LC2GG073669,S6,23/08/2024 01:17:53 PM,GRIS OSCURO METALICO,"CLIENTE SOLICITA: 1) PINTURA DE TECHO MALETERA. 2) PINTURA DE ESQUINERO POSTERIOR IZQUIERDO. 3) REVISAR NEBLINERO IZQUIERDO, NO ENCIENDE."
10000299,28/08/2024 09:00:25 AM,BPD551 ,10002839,99,,R,,98280,05/09/2024 07:45:52 PM,LJ166A333L7000196,S6,28/08/2024 09:02:19 AM,PLATA,CLIENTE SOLICTA: 1) REVISION DE SISTEMA DE EMBRAGUE. 2) VEHICULO INGRESA EN GRUA.
10000305,02/09/2024 09:01:16 AM,BDA146 ,10000003,99,,R,,50797,17/09/2024 06:12:46 PM,JM7DK2W7AJ1319341,S7,02/09/2024 10:05:52 AM,AZUL,CLIENTE SOLICITA: * SERVCIO DE MANTENIMIENTO. * SONIDO DELANTERO AL PASAR POR BACHES.
10000307,03/09/2024 09:29:44 AM,F3F400 ,10002766,99,,R,,98457,18/09/2024 03:57:18 PM,KMHJM81BPGU946090,S7,03/09/2024 09:33:34 AM,VERDE OSCURO,CLIENTE SOLICITA: 1) SERVICIO DE MANTENIMIENTO. 2) REVISAR SONIDO DE FAJAS CHILLAN. 3) REVISAR LUCES. DE FRENO NO PRENDE. 4) REVISAR EL MANDO A DISTANCIA NO ABRE PESTILLOS. 5) REVISAR SONIDO EN CABINA AL GIRAR EL TIMON. 
10000310,04/09/2024 11:11:44 AM,F8L079 ,10002926,99,,R,,58262,04/09/2024 05:32:42 PM,YV1DZ40CDE2587687,S7,04/09/2024 05:33:57 PM,MARRON,CAMBIO DE DISCOS Y PASTILLAS DE FRENO POSTERIOR CLIENTE TRAE SU REPUESTOS.
10000313,04/09/2024 05:44:42 PM,D3R385 ,10000017,99,,R,,92801,26/03/2025 10:28:50 AM,KL1PJ5E53DK011962,S9,04/09/2024 05:46:21 PM,NEGRO,AUXILIO MECANICO: 1) PERDIDA DE FLUIDO DE TRANSMISION.
10000314,05/09/2024 12:14:58 PM,ALK172 ,10000001,99,,R,,164673,23/02/2026 01:26:07 PM,JHLRD78806C207072,S7,05/09/2024 12:18:05 PM,PLATA ALABASTRO,*SERVICIO MAYOR
10000233,27/06/2024 03:57:49 PM,V7V267 ,10002855,99,,R,,53450,29/06/2024 03:07:37 PM,3N1AB7AD0HL602424,S7,29/06/2024 03:09:33 PM,GRIS TIERRA,CAMBIO DE BATERIA A DOMICILIO
10000234,01/07/2024 12:40:15 PM,BSX513 ,10002748,99,,R,,20973,08/07/2024 04:52:05 PM,KMHD741CBLU014022,S7,08/07/2024 04:52:48 PM,GRIS GRAFITO,CLIENTE SOLICITA: 1) Faro delantero derecho no realiza cambio de luces alta y baja. 2) Faros delanteros no activan luces intermitentes. 3) Luces intermitentes de funda de parachoque delantero no funcionan.
10000244,11/07/2024 02:59:56 PM,BEQ252 ,10002882,99,,R,,32377,20/07/2024 06:50:45 PM,WDCTG4CB7JJ516892,S7,20/07/2024 06:52:01 PM,GRIS,CLIENTE SOLICITA: 1) MANTENIMIENTO MAYOR.
10000249,16/07/2024 12:23:12 PM,BJF582 ,10002896,99,,R,,58328,01/08/2024 04:51:55 PM,1C4RDHAG3JC306860,S7,01/08/2024 04:52:25 PM,GRIS,*MANTENIMIENTO MAYOR
10000250,16/07/2024 06:58:31 PM,B9V036 ,10002848,99,,R,,83387,01/08/2024 05:11:22 PM,WDBTJ56J86F193820,S7,16/07/2024 07:00:34 PM,NEGRO,CLIENTE SOLICITA: 1) REVISION DE SUSPENSION POR OBSERVACION EN REVISION TECNICA. 2) REVISAR RUEDA POSTERIOR IZQUIERDA SE EST? BAJANDO.
10000256,18/07/2024 03:06:08 PM,BNJ299 ,10002748,99,,R,,17746,01/08/2024 05:53:34 PM,5KBYF6850LB600066,S7,18/07/2024 03:14:21 PM,,CLIENTE SOLICITA: 1) DIAGNOSTICO GENERAL. 2) COLOCAR MEJORES LLANTAS EN LA PARTE DELANTERA. 3) REPARACION DE ESTRIBO DERECHO. 4) COTIZACION SEGURO LLANTA RPTO. 5) COTIZACION DUPLICADO DE LLAVE.
10000258,19/07/2024 03:19:21 PM,D3R385 ,10000017,99,,R,,92038,04/09/2024 05:44:26 PM,KL1PJ5E53DK011962,S6,26/03/2025 10:31:20 AM,NEGRO,*REVISION DE PERDIDA DE REFRIGERANTE ***01/08/2024*** AUXILIO A DOMICILIO CLIENTE MANIFIESTA QUE AL ENCENDER EL AC EMPEZO A SALIR HUMO
10000263,20/07/2024 02:14:38 PM,B4T118 ,10002902,99,,R,,120874,16/09/2024 08:18:17 AM,5FNYF4850BB602221,S9,16/09/2024 08:18:24 AM,NEGRO,"CLIENTE SOLICITA: 1) RETAPIZADO DE INTERIOR DE PUERTA PILOTO, COPILOTO, POSTERIOR IZQUIERDA, TAPA DE GUANTERA CENTRAL. 2) REPARACI¿N DE CORTINA DE GUANTERA CENTRAL."
10000264,24/07/2024 09:47:21 AM,M4S014 ,10002869,99,,R,,47817,01/08/2024 02:44:07 PM,93HGH8740JZ502369,S7,01/08/2024 02:57:11 PM,ROJO,*REVICION DE EMBRAGUE (RUIDO EN COLLARIN)
10000265,24/07/2024 10:29:23 AM,ALU423 ,10002904,99,,R,,70595,26/07/2024 03:44:04 PM,KMHSU81CDFU427383,S6,24/07/2024 10:30:48 AM,BLANCO,*DIAGNOSTICO DE CORONA POST.
10000266,24/07/2024 11:57:08 AM,BTP357 ,10002809,99,,R,,70302,02/01/2025 08:27:58 AM,3HGRU5830KM501900,S7,02/01/2025 08:27:49 AM,BLANCO PLATINUM,*MANTENIMIENTO MAYOR
10000271,02/08/2024 02:07:25 PM,ANH339 ,10000115,99,,R,,76791,05/08/2024 06:23:13 PM,3VW151AJ5GM256304,S7,02/08/2024 02:11:37 PM,NEGRO PERLADO,*Mantenimiento y revisión de frenos por sonido
10000272,05/08/2024 11:58:05 AM,APM124 ,10000015,99,,R,,78141,09/08/2024 06:56:33 PM,JF1BS9LC2GG073669,S9,05/08/2024 12:01:04 PM,GRIS OSCURO METALICO,CLIENTE SOLICITA: 1) CUADRAR FUNDA DELANTERA DE PARACHOQUE 2) RETOQUE DE PINTURA FUNDA DELANTERA 3) RETOQUE DE PINTURA FUNDA POSTERIOR 4) RETOQUE DE PINTURA PUERTAS DERECHAS 4) PULIDO DE RAYADURA BORDE DERECHO DE CAPOT
10000273,07/08/2024 08:50:41 AM,BYF030 ,10002873,99,,R,,10066,23/08/2024 04:52:58 PM,93HGH8860MK601999,S7,07/08/2024 08:56:49 AM,AZUL COSMIC,"REVISION GENERAL MANT, DE 10,000 KM PLUMILLA POST. NO FUNCIONA TESTIGO DE RUEDA PRENDIDO."
10000283,15/08/2024 09:50:18 AM,C0K353 ,10002911,99,,R,,47346,16/08/2024 04:13:38 PM,MM7DE32Y8DW215995,S7,15/08/2024 09:52:22 AM,PLATA,"CLIENTE SOLICITA: 1) AUXILIO A DOMICILIO, AUTO NO ENCIENDE. 2) REVISION DE BATERIA Y SISTEMA DE CARGA. 3) DIAGNOSTICO GENERAL. 4) PRESUPUESTO POR MANTENIMIENTO."
10000286,19/08/2024 12:54:25 PM,BKV102 ,10002768,99,,R,,17960,22/08/2024 07:07:54 PM,WDCTG4CB6KJ622901,S7,22/08/2024 07:08:43 PM,GRIS,*SERVICIO MENOR 
10000315,05/09/2024 04:09:27 PM,BDK638 ,10002928,99,,R,,82075,12/09/2024 12:17:13 PM,5KBYF5810HB600710,S6,11/09/2024 05:16:07 PM,BLANCO DIAMOND,*DIAGNOSTICO POR VIBRACION
10000319,09/09/2024 08:36:21 AM,BCU243 ,10000095,99,,R,,50044,18/09/2024 04:20:14 PM,YV1MV29H0J2494717,S9,18/09/2024 04:20:55 PM,AZUL,CLIENTE SOLICITA: 1) SONIDO DELANTERO AL GIRAR Y AVANZAR.
10000254,18/07/2024 11:17:38 AM,AKW540 ,10000054,99,,R,,72785,01/08/2024 05:23:30 PM,3HGRM3850FG600965,S7,18/07/2024 11:18:49 AM,NEGRO,*REVICION Y REPARACION DE ARRANCADOR
10000275,07/08/2024 09:32:07 AM,APM319 ,10000087,99,,R,,83841,12/08/2024 06:15:07 PM,4P3XNGA2WFE903496,S7,12/08/2024 06:16:08 PM,BLANCO,MANTENIMIENTO PREVENTIVO MAYOR ALINEAMIENTO DELT REPARACION DE LLANTA REPUESTO CAMBIO PLUMILLAS REVISION TECNICA
10000277,08/08/2024 12:46:04 PM,BTR020 ,10002907,99,,R,,41085,22/08/2024 07:47:44 PM,JF1GT7LL5KG088900,S7,23/08/2024 04:23:01 PM,,CLIENTE SOLICITA: 1) SERVICIO DE MANTENIMIENTO. 2) SERVICIO DE FRENOS. 3) CAMBIO DE BATERIA Y REVISION DE SISTEMA DE CARGA.
10000292,23/08/2024 08:34:15 AM,AEU526 ,10002837,99,,R,,129418,04/09/2024 06:15:09 PM,5FNYF4850FB601406,S7,24/08/2024 10:37:55 AM,BLANCO,CLIENTE SOLICITA: 1) SERVICIO DE MANTENIMIENTO. 2) REPARACION DE CORTINA DE CONSOLA CENTRAL.
10000294,23/08/2024 05:24:28 PM,AVK515 ,10002917,99,,R,,89946,24/08/2024 02:49:55 PM,JF1SJ5LC5HG308530,S9,24/08/2024 02:50:35 PM,BLANCO CRISTAL PERLA,*REVICION Y REPARACION DE A/C
10000296,26/08/2024 03:56:53 PM,ACV595 ,10002840,99,,R,,110000,27/08/2024 12:11:14 PM,WBA3A110XFJ614648,S7,27/08/2024 12:11:46 PM,BLANCO ALPINO,Se rellenara 1.50 litros de aceite de motor para hacer seguimiento del comportamiento de motor...
10000302,29/08/2024 03:00:08 PM,CEG230 ,10002921,99,,R,,15661,07/04/2025 01:28:01 PM,3N1AB8AE4PY212765,S6,29/08/2024 03:22:25 PM,GRIS METALICO,*SERVICIO MENOR
10000303,29/08/2024 02:53:57 PM,AZC137 ,10002922,99,,R,,88478,04/09/2024 02:54:30 PM,P0348058000000000,S9,29/08/2024 04:27:09 PM,VERDE,CLIENTE SOLICITA: 1) ENDEREZADO DE PARACHOQUE DELANTERO.
10000316,06/09/2024 01:35:00 PM,AVK515 ,10002917,99,,R,,90671,23/02/2026 01:27:16 PM,JF1SJ5LC5HG308530,S7,09/09/2024 01:02:32 PM,BLANCO CRISTAL PERLA,*Cambio de pastillas de freno delt. *Cambio de radiador *cambio de Bocinas de trapecio * Mantenimiento preventivo.
10000317,31/08/2024 10:30:00 AM,BJF582 ,10002896,99,,R,,60102,06/09/2024 06:21:40 PM,1C4RDHAG3JC306860,S7,06/09/2024 06:22:09 PM,GRIS,Revision por testigo encendido star stop y luz de salon no apagan. Cotizar bateria de respando.
10000321,10/09/2024 11:31:27 AM,BTL071 ,10002747,99,,R,,37073,18/09/2024 04:24:32 PM,5KBYF5810LB600176,S7,18/09/2024 04:25:06 PM,PLATA SILVER,CLIENTE SOLICITA: 1) SERVICIO DE MANTENIMIENTO. 2) ACOMODAR MOLDURA DE GDFGO. POST. DERECHO. 3) ACOMODAR FARO NEBLINERO POSTERIOR DERECHO.
10000322,10/09/2024 12:08:18 PM,BWZ286 ,10002931,99,,R,,19459,18/09/2024 03:52:19 PM,JS2ZC21S685403480,S6,18/09/2024 03:52:12 PM,CELESTE,CLIENTE SOLICITA: 1) CAMBIO DE NEUMATICOS. 2) REVISION SONIDO SUSPENSION. 3) MANTENIMIENTO PREVENTIVO.
10000323,11/09/2024 08:41:59 AM,BUH585 ,10002786,99,,R,,28344,12/09/2024 09:03:06 AM,LJ12EKR24N4000377,S9,11/09/2024 10:02:11 AM,ROJO,CLIENTE SOLICITA: 1) SERVICIO DE MANTENIMIENTO MENOR.
10000324,16/09/2024 08:17:40 AM,B4T118 ,10002902,99,,R,,121154,03/10/2024 04:48:04 PM,5FNYF4850BB602221,S6,03/10/2024 04:48:10 PM,NEGRO,CLIENTE SOLICITA: 1) REVISION GENERAL POR FUGAS DE ACEITE. 2) ZUMBIDO DELANTERO CON EL MOTOR ENCENDIDO. 3) SONIDO COMO GOLPETEO AL ACELERAR.
10000325,16/09/2024 10:25:32 AM,B9V036 ,10002848,99,,R,,83859,17/09/2024 12:48:02 PM,WDBTJ56J86F193820,S9,16/09/2024 10:27:20 AM,NEGRO,CLIENTE SOLICITA: 1) GOLPE DELANTERO IZQUIERDO AL ACELERAR BRUSCAMENTE.
10000326,16/09/2024 10:28:17 AM,BZM369 ,10002937,99,,R,,31287,23/02/2026 01:27:40 PM,9BRBZ3BE5N4031262,S7,16/09/2024 10:35:00 AM,BLANCO PERLA,CLIENTE SOLICITA: 1) PINTAR LADO DERECHO DE FUNDA DELANTERA DE PARACHOQUE.
10000327,17/09/2024 09:46:32 AM,AXK006 ,10002806,12,,R,,68736,19/12/2024 10:24:53 AM,SALCA2BG3HH648129,S6,17/09/2024 09:58:29 AM,BLANCO,CLIENTE SOLICITA: 1) PLANCHAR Y PINTAR: * PUERTA DELANTERA DERECHA * PUERTA POSTERIOR DERECHA * GUARDAFANGO DELANTERO DERECHO * RETOCAR PESTA?AS DE AROS (CORTES?A)
10000329,17/09/2024 11:22:31 AM,B2X433 ,10002787,99,,R,,98551,06/11/2024 05:52:14 PM,KL1TM5C75BB135173,S7,06/11/2024 05:50:23 PM,ROJO FLAMA,CLIENTE SOLICITA: 1) REVISION POR CHIRRIDO AL ENCENDER POR LA MA?ANA. 2) SONIDO EN MOTOR. 3) PENDIENTES DE SERVICIO.
10000358,15/10/2024 12:10:36 PM,ACV595 ,10002840,99,,R,,112979,15/10/2024 02:11:30 PM,WBA3A110XFJ614648,S6,15/10/2024 02:12:07 PM,BLANCO ALPINO,Servicio preventivo Cambio de tapa de valvulas (Importación)
10000363,18/10/2024 01:18:54 PM,F8B300 ,10002862,99,,R,,82842,28/10/2024 01:06:33 PM,MMBGYKH40DF009894,S6,28/10/2024 01:07:02 PM,GRIS OSCURO METALICO,CLIENTE SOLICITA. COTIZAR CAMBIO DE ACEITE DE CAJA AUTOMATICA. REVISION INTEGRAL PARA VIAJE LARGO.
10000366,21/10/2024 12:50:42 PM,ATE368 ,10002897,99,,R,,85312,21/10/2024 07:02:27 PM,1C4PJLAB4GW293521,S7,21/10/2024 12:51:41 PM,AZUL,cambio de bateria cambio de pastillas de freno
10000367,21/10/2024 01:42:43 PM,B6F281 ,10002966,99,,R,,132141,28/10/2024 09:52:58 AM,JS3TE54VX94100924,S6,21/10/2024 01:45:29 PM,NEGRO,Revision general ruido al pasar baches ac no funciona
10000373,23/10/2024 10:41:05 AM,F7G019 ,10002967,99,,R,,102607,23/10/2024 01:40:24 PM,YV1MZ485BE2030337,S9,23/10/2024 01:39:57 PM,BLANCO,CAMBIO DE FOCO INTERMITENTE LADO IZQUIERDO. 
10000379,28/10/2024 09:16:30 AM,C0G441 ,10002968,99,,R,,84677,24/02/2025 01:02:58 PM,WDBRF42H67F851578,S6,06/11/2024 04:12:05 PM,PLATA,CLIENTE SOLICITA: 1) AUXILIO MECANICO A DOMICILIO. 2) SERVIO DE GRUA. 3) DIAGNOSTICO GENERAL.
10000381,30/10/2024 08:11:34 AM,B0L057 ,10002971,99,,R,,119788,23/02/2026 01:28:46 PM,KNAPC811BC7218678,S6,30/10/2024 08:18:08 AM,NEGRO,CLIENTE SOLICITA: 1) REVISAR LUCES. 2) REVISAR A/C. 3) MANTENIMIENTO PREVENTIVO.
10000383,02/11/2024 12:28:47 PM,M5O208 ,10002973,99,,R,,39346,02/11/2024 12:32:16 PM,VR7A45GYVML000296,S1,02/11/2024 12:32:07 PM,AZUL TIJUCA,1) ESCANEO ELECTRONICO. 2) KIT LIMPIEZA SISTEMA COMBUSTIBLE.
10000390,07/11/2024 05:33:35 PM,A7C113 ,10002872,99,,R,,180973,19/11/2024 08:27:11 AM,1J4PS4GK3AC161766,S9,08/11/2024 03:24:44 PM,PLATA,CLIENTE SOLICITA: 1) INSTALAR Y PROGRAMAR BOTON DE ENCENDIDO. 2) PROGRAMAR 02 LLAVES NUEVAS. CLIENTE TRAE RPTOS.
10000397,12/11/2024 02:05:59 PM,F1M060 ,10002830,99,,R,,105216,12/11/2024 06:48:30 PM,JM8KE2W78E0210395,S6,12/11/2024 02:12:34 PM,BLANCO,CLIENTE SOLICITA: 1) INSTALAR MODULO DC/DC (CLIENTE TRAE RPTO.) 2) CAMBIO DE BATERIA.
10000404,14/11/2024 08:35:16 AM,AKT079 ,10002964,99,,R,,101013,19/11/2024 08:29:08 AM,3N1AB7AD7GL621213,S7,14/11/2024 09:26:16 AM,GRIS TIERRA,Cliente solicita: 1) ELIMINAR CHIRRIDO EN RUEDAS POSTERIORES AL RETROCEDER POR LAS MANANAS. 2) REVISION TECNICA.
10000408,15/11/2024 01:39:19 PM,F9X279 ,10000014,99,,R,,84003,20/11/2024 02:53:46 PM,WAUZZZ8K7EA019506,S9,15/11/2024 01:41:03 PM,AZUL,Cliente solicita: 1) CAMBIO DE ACTUADORES DE FRENO ESTACIONAMIENTO.
10000411,18/11/2024 08:24:12 AM,BJM632 ,10002984,99,,R,,38176,18/11/2024 03:10:44 PM,1HGCV1650JA500061,S7,18/11/2024 08:43:19 AM,GRIS STEEL,CLIENTE SOLICITA: 1) REVISION DE SISTEMA A/C PORQUE NO ENFRIA 2) LIMPIEZA DE FILTRO DE AIRE DE MOTOR 3) LAVADO SIMPLE 4) COTIZAR PINTURA 5) COTIZAR TRATAMIENTO CERAMICO 6) COTIZAR POLARIZADO Y LAMINA DE SEGURIDAD 7) COTIZAR LAVADO DE SALON 8) PULIR PARTE POSTERIOR
